B8B15A52DFC953B2A5E448A8A762EBEE190E0E425C53325D32E78058C65DBE34,[ 4.36111111 3.47222222 0.78703704]
B8B15A52DFC953B2A5E448A8A762EBEE190E0E425C53325D32E78058C65DBE34,[ 3.25 1.75 0. ]
F0B3E0C948C2D8AE14800356CF98BF0358F033C56E72C89BCD9FD78619F84E90,[ 3. 5. 0.]
B8B15A52DFC953B2A5E448A8A762EBEE190E0E425C53325D32E78058C65DBE34,[ 4.36111111 3.47222222 0.78703704]
B8B15A52DFC953B2A5E448A8A762EBEE190E0E425C53325D32E78058C65DBE34,[ 3.25 1.75 0. ]
F0B3E0C948C2D8AE14800356CF98BF0358F033C56E72C89BCD9FD78619F84E90,[ 3. 5. 0.]
B8B15A52DFC953B2A5E448A8A762EBEE190E0E425C53325D32E78058C65DBE34,[ 4.36111111 3.47222222 0.78703704]
B8B15A52DFC953B2A5E448A8A762EBEE190E0E425C53325D32E78058C65DBE34,[ 3.25 1.75 0. ]
F0B3E0C948C2D8AE14800356CF98BF0358F033C56E72C89BCD9FD78619F84E90,[ 3. 5. 0.]
B8B15A52DFC953B2A5E448A8A762EBEE190E0E425C53325D32E78058C65DBE34,[ 4.36111111 3.47222222 0.78703704]
B8B15A52DFC953B2A5E448A8A762EBEE190E0E425C53325D32E78058C65DBE34,[ 3.25 1.75 0. ]
F0B3E0C948C2D8AE14800356CF98BF0358F033C56E72C89BCD9FD78619F84E90,[ 3. 5. 0.]
B8B15A52DFC953B2A5E448A8A762EBEE190E0E425C53325D32E78058C65DBE34,[ 4.36111111 3.47222222 0.78703704]
B8B15A52DFC953B2A5E448A8A762EBEE190E0E425C53325D32E78058C65DBE34,[ 3.25 1.75 0. ]
F0B3E0C948C2D8AE14800356CF98BF0358F033C56E72C89BCD9FD78619F84E90,[ 3. 5. 0.]
B8B15A52DFC953B2A5E448A8A762EBEE190E0E425C53325D32E78058C65DBE34,[ 4.36111111 3.47222222 0.78703704]
B8B15A52DFC953B2A5E448A8A762EBEE190E0E425C53325D32E78058C65DBE34,[ 3.25 1.75 0. ]
F0B3E0C948C2D8AE14800356CF98BF0358F033C56E72C89BCD9FD78619F84E90,[ 3. 5. 0.]
